Hypernyms and hyponyms not included
bar.40004; predicted_sense: [8469, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40008; predicted_sense: [1925, Synset('barricade.v.01')]; correct_sense: bar-0;

bar.40012; predicted_sense: [8544, Synset('bar.v.01')]; correct_sense: bar-0;

bar.40015; predicted_sense: [39227, Synset('stripe.n.05')]; correct_sense: bar-3;

bar.40020; predicted_sense: [39227, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40021; predicted_sense: [48711, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-0;

bar.40024; predicted_sense: [12859, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40029; predicted_sense: [39227, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40030; predicted_sense: [6445, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40033; predicted_sense: [39227, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40035; predicted_sense: [4492, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40039; predicted_sense: [18641, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40044; predicted_sense: [2468, Synset('barricade.v.01')]; correct_sense: bar-0;

bar.40050; predicted_sense: [16115, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40053; predicted_sense: [4254, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40060; predicted_sense: [1925, Synset('barricade.v.01')]; correct_sense: bar-0;

bar.40064; predicted_sense: [12279, Synset('bar.n.07')]; correct_sense: bar-0;

bar.40067; predicted_sense: [5999, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40069; predicted_sense: [2497, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40070; predicted_sense: [12890, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40073; predicted_sense: [16115, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40081; predicted_sense: [29021, Synset('bar.n.07')]; correct_sense: bar-3;

bar.40084; predicted_sense: [3133, Synset('barricade.v.01')]; correct_sense: bar-0;

