Only chairs, signature and context sets
chair.40002; predicted_sense: [4, 'electrical-chair']; correct_sense: chair-0;

chair.40003; predicted_sense: [14, 'chair-rail_chair']; correct_sense: chair-0;

chair.40005; predicted_sense: [12, 'chair-furniture']; correct_sense: chair-0;

chair.40006; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40008; predicted_sense: [6, 'chair-furniture']; correct_sense: chair-0;

chair.40012; predicted_sense: [9, 'electrical-chair']; correct_sense: chair-0;

chair.40013; predicted_sense: [9, 'electrical-chair']; correct_sense: chair-0;

chair.40015; predicted_sense: [2, 'electrical-chair']; correct_sense: chair-0;

chair.40019; predicted_sense: [19, 'chair-rail_chair']; correct_sense: chair-0;

chair.40020; predicted_sense: [34, 'electrical-chair']; correct_sense: chair-0;

chair.40023; predicted_sense: [14, 'chair-furniture']; correct_sense: chair-0;

chair.40025; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40027; predicted_sense: [16, 'electrical-chair']; correct_sense: chair-0;

chair.40030; predicted_sense: [8, 'chairman']; correct_sense: chair-0;

chair.40033; predicted_sense: [30, 'electrical-chair']; correct_sense: chair-0;

chair.40034; predicted_sense: [3, 'electrical-chair']; correct_sense: chair-0;

chair.40037; predicted_sense: [10, 'chair-furniture']; correct_sense: chair-0;

chair.40039; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40040; predicted_sense: [5, 'chair-furniture']; correct_sense: chair-0;

chair.40047; predicted_sense: [47, 'electrical-chair']; correct_sense: chair-0;

chair.40050; predicted_sense: [9, 'chair-furniture']; correct_sense: chair-0;

chair.40058; predicted_sense: [13, 'electrical-chair']; correct_sense: chair-0;

chair.40062; predicted_sense: [12, 'chair-furniture']; correct_sense: chair-0;

chair.40064; predicted_sense: [17, 'electrical-chair']; correct_sense: chair-0;

chair.40066; predicted_sense: [22, 'electrical-chair']; correct_sense: chair-0;

chair.40068; predicted_sense: [13, 'electrical-chair']; correct_sense: chair-0;

chair.40071; predicted_sense: [54, 'chair-furniture']; correct_sense: chair-0;

chair.40072; predicted_sense: [9, 'chair-furniture']; correct_sense: chair-0;

chair.40075; predicted_sense: [3, 'electrical-chair']; correct_sense: chair-0;

chair.40077; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40080; predicted_sense: [18, 'chair-furniture']; correct_sense: chair-0;

chair.40081; predicted_sense: [9, 'electrical-chair']; correct_sense: chair-0;

chair.40083; predicted_sense: [12, 'electrical-chair']; correct_sense: chair-0;

chair.40084; predicted_sense: [9, 'electrical-chair']; correct_sense: chair-0;

chair.40086; predicted_sense: [19, 'electrical-chair']; correct_sense: chair-0;

chair.40087; predicted_sense: [19, 'electrical-chair']; correct_sense: chair-0;

chair.40090; predicted_sense: [34, 'electrical-chair']; correct_sense: chair-0;

chair.40094; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40096; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40099; predicted_sense: [16, 'chair-furniture']; correct_sense: chair-0;

chair.40100; predicted_sense: [2, 'chair-furniture']; correct_sense: chair-0;

chair.40105; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40108; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40111; predicted_sense: [16, 'electrical-chair']; correct_sense: chair-0;

chair.40112; predicted_sense: [6, 'chair-furniture']; correct_sense: chair-0;

chair.40114; predicted_sense: [34, 'electrical-chair']; correct_sense: chair-0;

chair.40115; predicted_sense: [15, 'electrical-chair']; correct_sense: chair-0;

chair.40117; predicted_sense: [12, 'electrical-chair']; correct_sense: chair-0;

chair.40120; predicted_sense: [14, 'chair-furniture']; correct_sense: chair-0;

chair.40121; predicted_sense: [28, 'electrical-chair']; correct_sense: chair-0;

chair.40124; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40125; predicted_sense: [7, 'electrical-chair']; correct_sense: chair-0;

chair.40128; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40129; predicted_sense: [15, 'electrical-chair']; correct_sense: chair-0;

chair.40131; predicted_sense: [7, 'electrical-chair']; correct_sense: chair-0;

chair.40132; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40135; predicted_sense: [11, 'electrical-chair']; correct_sense: chair-0;

chair.40136; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40139; predicted_sense: [5, 'chair-furniture']; correct_sense: chair-0;

chair.40142; predicted_sense: [17, 'chair-furniture']; correct_sense: chair-0;

chair.40143; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40146; predicted_sense: [11, 'chair-furniture']; correct_sense: chair-0;

chair.40147; predicted_sense: [18, 'electrical-chair']; correct_sense: chair-0;

chair.40149; predicted_sense: [3, 'electrical-chair']; correct_sense: chair-0;

chair.40150; predicted_sense: [21, 'electrical-chair']; correct_sense: chair-0;

chair.40152; predicted_sense: [15, 'electrical-chair']; correct_sense: chair-0;

chair.40153; predicted_sense: [18, 'electrical-chair']; correct_sense: chair-0;

chair.40155; predicted_sense: [24, 'electrical-chair']; correct_sense: chair-0;

chair.40156; predicted_sense: [4, 'electrical-chair']; correct_sense: chair-0;

chair.40158; predicted_sense: [13, 'electrical-chair']; correct_sense: chair-0;

chair.40159; predicted_sense: [17, 'electrical-chair']; correct_sense: chair-0;

chair.40161; predicted_sense: [13, 'electrical-chair']; correct_sense: chair-0;

chair.40162; predicted_sense: [7, 'chair-furniture']; correct_sense: chair-0;

chair.40165; predicted_sense: [7, 'electrical-chair']; correct_sense: chair-0;

chair.40166; predicted_sense: [19, 'chair-furniture']; correct_sense: chair-0;

chair.40169; predicted_sense: [7, 'electrical-chair']; correct_sense: chair-0;

chair.40171; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40174; predicted_sense: [6, 'electrical-chair']; correct_sense: chair-0;

chair.40175; predicted_sense: [15, 'chair-rail_chair']; correct_sense: chair-0;

chair.40178; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40182; predicted_sense: [10, 'electrical-chair']; correct_sense: chair-0;

chair.40184; predicted_sense: [11, 'electrical-chair']; correct_sense: chair-0;

chair.40187; predicted_sense: [5, 'electrical-chair']; correct_sense: chair-0;

chair.40189; predicted_sense: [11, 'electrical-chair']; correct_sense: chair-0;

chair.40190; predicted_sense: [13, 'electrical-chair']; correct_sense: chair-0;

chair.40192; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40196; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40198; predicted_sense: [5, 'electrical-chair']; correct_sense: chair-0;

chair.40199; predicted_sense: [22, 'electrical-chair']; correct_sense: chair-0;

chair.40201; predicted_sense: [31, 'electrical-chair']; correct_sense: chair-0;

chair.40202; predicted_sense: [8, 'electrical-chair']; correct_sense: chair-0;

chair.40205; predicted_sense: [9, 'chair-furniture']; correct_sense: chair-0;

chair.40208; predicted_sense: [12, 'electrical-chair']; correct_sense: chair-0;

chair.40210; predicted_sense: [14, 'electrical-chair']; correct_sense: chair-0;

chair.40211; predicted_sense: [11, 'electrical-chair']; correct_sense: chair-0;

chair.40213; predicted_sense: [16, 'electrical-chair']; correct_sense: chair-0;

chair.40214; predicted_sense: [16, 'electrical-chair']; correct_sense: chair-0;

chair.40216; predicted_sense: [6, 'chair-furniture']; correct_sense: chair-0;

chair.40220; predicted_sense: [3, 'chair-furniture']; correct_sense: chair-0;

chair.40221; predicted_sense: [14, 'electrical-chair']; correct_sense: chair-0;

chair.40224; predicted_sense: [25, 'electrical-chair']; correct_sense: chair-0;

chair.40226; predicted_sense: [38, 'electrical-chair']; correct_sense: chair-0;

chair.40227; predicted_sense: [18, 'chair-furniture']; correct_sense: chair-0;

chair.30002; predicted_sense: [4, 'chair-furniture']; correct_sense: chair-0;

chair.30004; predicted_sense: [4, 'chair-furniture']; correct_sense: chair-0;

chair.30005; predicted_sense: [17, 'electrical-chair']; correct_sense: chair-0;

chair.30008; predicted_sense: [14, 'chair-furniture']; correct_sense: chair-0;

chair.30009; predicted_sense: [6, 'chairman']; correct_sense: chair-0;

chair.30011; predicted_sense: [2, 'chair-furniture']; correct_sense: chair-0;

chair.30012; predicted_sense: [16, 'electrical-chair']; correct_sense: chair-0;

Accuracy: 0.24545454545454545 ; 27 / 110The amount of no_overlap: 0
