Only chairs, signature and context sets
chair.40002; predicted_sense: [1408, 'chair-rail_chair']; correct_sense: chair-0;

chair.40003; predicted_sense: [33049, 'chair-furniture']; correct_sense: chair-0;

chair.40005; predicted_sense: [42435, 'chair-furniture']; correct_sense: chair-0;

chair.40006; predicted_sense: [34554, 'chair-furniture']; correct_sense: chair-0;

chair.40008; predicted_sense: [92558, 'chair-furniture']; correct_sense: chair-0;

chair.40012; predicted_sense: [22624, 'electrical-chair']; correct_sense: chair-0;

chair.40013; predicted_sense: [48082, 'chair-furniture']; correct_sense: chair-0;

chair.40015; predicted_sense: [1008, 'chair-furniture']; correct_sense: chair-0;

chair.40019; predicted_sense: [50692, 'electrical-chair']; correct_sense: chair-0;

chair.40020; predicted_sense: [27785, 'electrical-chair']; correct_sense: chair-0;

chair.40023; predicted_sense: [50575, 'chair-furniture']; correct_sense: chair-0;

chair.40025; predicted_sense: [92801, 'chair-furniture']; correct_sense: chair-0;

chair.40027; predicted_sense: [81920, 'chair-furniture']; correct_sense: chair-0;

chair.40030; predicted_sense: [61072, 'chairman']; correct_sense: chair-0;

chair.40033; predicted_sense: [41821, 'chair-furniture']; correct_sense: chair-0;

chair.40034; predicted_sense: [1451, 'chair-furniture']; correct_sense: chair-0;

chair.40037; predicted_sense: [56916, 'chair-furniture']; correct_sense: chair-0;

chair.40039; predicted_sense: [39873, 'chair-furniture']; correct_sense: chair-0;

chair.40040; predicted_sense: [32751, 'chair-furniture']; correct_sense: chair-0;

chair.40047; predicted_sense: [20564, 'electrical-chair']; correct_sense: chair-0;

chair.40050; predicted_sense: [52247, 'chair-furniture']; correct_sense: chair-0;

chair.40058; predicted_sense: [58324, 'electrical-chair']; correct_sense: chair-0;

chair.40062; predicted_sense: [77150, 'electrical-chair']; correct_sense: chair-0;

chair.40064; predicted_sense: [587, 'electrical-chair']; correct_sense: chair-0;

chair.40066; predicted_sense: [105517, 'chair-rail_chair']; correct_sense: chair-0;

chair.40068; predicted_sense: [5521, 'electrical-chair']; correct_sense: chair-0;

chair.40071; predicted_sense: [63088, 'chair-furniture']; correct_sense: chair-0;

chair.40072; predicted_sense: [33049, 'chair-furniture']; correct_sense: chair-0;

chair.40075; predicted_sense: [14071, 'electrical-chair']; correct_sense: chair-0;

chair.40077; predicted_sense: [2620, 'chairman']; correct_sense: chair-0;

chair.40080; predicted_sense: [74349, 'chair-furniture']; correct_sense: chair-0;

chair.40081; predicted_sense: [4148, 'chair-furniture']; correct_sense: chair-0;

chair.40083; predicted_sense: [1981, 'chair-rail_chair']; correct_sense: chair-0;

chair.40084; predicted_sense: [14245, 'electrical-chair']; correct_sense: chair-0;

chair.40086; predicted_sense: [33314, 'chair-furniture']; correct_sense: chair-0;

chair.40087; predicted_sense: [53936, 'chair-furniture']; correct_sense: chair-0;

chair.40090; predicted_sense: [62746, 'chair-furniture']; correct_sense: chair-0;

chair.40094; predicted_sense: [21796, 'chair-rail_chair']; correct_sense: chair-0;

chair.40096; predicted_sense: [3187, 'electrical-chair']; correct_sense: chair-0;

chair.40099; predicted_sense: [55038, 'chair-furniture']; correct_sense: chair-0;

chair.40100; predicted_sense: [2308, 'chair-conformation']; correct_sense: chair-0;

